latitude,longitude
-22.92386,-43.56239
-22.92376,-43.56244
-22.92363,-43.56249
-22.92351,-43.56253
-22.92339,-43.56257
-22.92329,-43.56259
-22.92323,-43.5626
-22.92315,-43.56261
-22.92268,-43.56268
-22.92263,-43.5627
-22.92223,-43.56275
-22.92207,-43.56278
-22.922,-43.56279
-22.92191,-43.56282
-22.92187,-43.56284
-22.92181,-43.56287
-22.92178,-43.56288
-22.92176,-43.56288
-22.92174,-43.5629
-22.9217,-43.56291
-22.92167,-43.56293
-22.92162,-43.56297
-22.92158,-43.563
-22.92155,-43.56302
-22.9215,-43.56305
-22.92145,-43.56309
-22.92141,-43.56312
-22.92136,-43.56319
-22.92135,-43.56323
-22.92132,-43.56331
-22.92129,-43.5634
-22.92135,-43.56344
-22.92136,-43.56345
-22.92139,-43.56348
-22.92141,-43.56351
-22.92145,-43.56356
-22.9215,-43.5636
-22.92154,-43.56366
-22.92161,-43.56374
-22.92168,-43.56383
-22.92172,-43.56388
-22.92179,-43.56396
-22.92186,-43.56404
-22.92197,-43.56418
-22.92205,-43.56424
-22.92218,-43.56437
-22.92233,-43.56449
-22.92245,-43.5646
-22.92249,-43.56464
-22.92255,-43.5647
-22.92258,-43.56473
-22.92263,-43.56477
-22.92267,-43.56481
-22.92269,-43.56484
-22.92272,-43.56487
-22.92275,-43.56491
-22.9228,-43.56498
-22.92285,-43.56505
-22.92292,-43.56517
-22.92295,-43.56522
-22.92297,-43.56527
-22.923,-43.56535
-22.92303,-43.56543
-22.92308,-43.56556
-22.92321,-43.56591
-22.9233,-43.56614
-22.92334,-43.56626
-22.92337,-43.56633
-22.92341,-43.56644
-22.92342,-43.56648
-22.92343,-43.56651
-22.92343,-43.56652
-22.92344,-43.56656
-22.92345,-43.56665
-22.92345,-43.56669
-22.92345,-43.56672
-22.92345,-43.56677
-22.92346,-43.5669
-22.92346,-43.56698
-22.92347,-43.56703
-22.92348,-43.56712
-22.9235,-43.56721
-22.92355,-43.56736
-22.9236,-43.56752
-22.92363,-43.56762
-22.92368,-43.56776
-22.92379,-43.5681
-22.92385,-43.56827
-22.92388,-43.56836
-22.92396,-43.56854
-22.92401,-43.56863
-22.92407,-43.56873
-22.92411,-43.5688
-22.92414,-43.56885
-22.92421,-43.56895
-22.92426,-43.56904
-22.92454,-43.56948
-22.9248,-43.56991
-22.92497,-43.5702
-22.92508,-43.57036
-22.92513,-43.57047
-22.92525,-43.57066
-22.92537,-43.57086
-22.92548,-43.57101
-22.92558,-43.57113
-22.92568,-43.57124
-22.92575,-43.5713
-22.92591,-43.57142
-22.92629,-43.57168
-22.92643,-43.57178
-22.92654,-43.57185
-22.92701,-43.57217
-22.92714,-43.57227
-22.92736,-43.57243
-22.92739,-43.57245
-22.92756,-43.57257
-22.92757,-43.57258
-22.92764,-43.57262
-22.92774,-43.5727
-22.92779,-43.57273
-22.92787,-43.57279
-22.92786,-43.57285
-22.92784,-43.57291
-22.92782,-43.57298
-22.92781,-43.57301
-22.92777,-43.57306
-22.92775,-43.57308
-22.9273,-43.57351
-22.92719,-43.57361
-22.9271,-43.57368
-22.92708,-43.57369
-22.92704,-43.57372
-22.92692,-43.57379
-22.92696,-43.57384
-22.9272,-43.57411
-22.9273,-43.574
-22.92738,-43.57391
-22.92745,-43.57383
-22.92755,-43.57371
-22.92765,-43.5736
-22.92776,-43.57349
-22.9278,-43.57353
-22.92783,-43.57356
-22.92792,-43.57368
-22.92803,-43.5738
-22.92812,-43.57391
-22.92818,-43.57399
